Sender,Subject,Content,Link,Class
,,,,
Dean Saharanpur,A fake ID (in my name: SUJAY CHATTOPADHYAY) is being circulated through WhatsApp!,Dean Saharanpur A fake ID (in my name: SUJAY CHATTOPADHYAY) is being circulated through WhatsApp! Attachment: WhatsApp Image 2024-09-24 at 1.15.37 PM.jpeg 3:20 PM,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJQKRDwWSgpCmSVNxKmgLQzsv,0
,,,,
CS Pant,Request to please bring your calculator and laptop in IHR-302 class,CS Pant Request to please bring your calculator and laptop in IHR-302 class   3:17 PM,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJQKRDwWBJFDqhnwVHvqgNzFC,0
,,,,
General Secretary Technical Affairs,Tinkering Lab: Software Developer Recruitment,"General, SASMIT  3 Tinkering Lab: Software Developer Recruitment   3:09 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzNtMFTTLZMwWgkLPchhhxCQZ,1
,,,,
General Secretary Technical Affairs,Enactus IIT-Roorkee || Recruitments for UG Design 2Y,"Gener., me, SASMIT  4 Enactus IIT-Roorkee || Recruitments for UG Design 2Y   3:08 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzFVcQfCJZkhVnhnKkJWgbkTn,1
,,,,
NCC IIT Roorkee,Join NCC IIT Roorkee - Cadet Recruitment Drive!,"NCC .. Mail, SASMIT  5 Join NCC IIT Roorkee - Cadet Recruitment Drive! Attachment: Instagram post - 5 CB.png 3:08 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzPCGrWsrdkBTZXFzdjzGtQCR,1
,,,,
"Thomso, IIT Roorkee",Join Us for Thomso'24 - A Crossroad of Cultures: Applications Now Open!,"IIT, IIT, SASMIT  5 Join Us for Thomso'24 - A Crossroad of Cultures: Applications Now Open! Attachment: Recruitment Poster.jpg 3:08 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzNzwMkVfStlLTFtjjdRNBFlc,1
,,,,
E-Cell IIT Roorkee,TEDxIITRoorkee goes Recruiting!!,"E-Ce. .. me .. SASM.  6 TEDxIITRoorkee goes Recruiting!!  -  ---------- Forwarded message --------- From: E-Cell IIT Roorkee <ecell@iitr.ac.in> Date: Mon, Aug 26, 2024 at 7:59 PM Subject: TEDxIITRoorkee goes Recruiting!! Attachment: get_recruiTED.JPG 3:08 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzNvVZlVLrxSSLzkMFwgnTksr,1
,,,,
Faculty Advisor Cultural Society,Fwd: Fine arts recruitment,"Faculty, SASMIT  3 Fwd: Fine arts recruitment  -  ---------- Forwarded message --------- From: Faculty Advisor Cultural Society <fa.culsoc@iitr.ac.in> Date: Sat, 24 Aug, 2024, 9:04 pm Subject: Fwd: Fine arts re Attachment: IMG-20240824-WA0011.jpg 3:08 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzNsDVjVwthkxKwDXGFTgVgSB,1
,,,,
Faculty Advisor Cultural Society,Fwd: Invitation to standup show Jokes Apart,"Faculty, SASMIT  3 Fwd: Invitation to standup show Jokes Apart Attachment: HiPaint_1724341546736.jpg 3:07 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzNqtKmlswMmLDxsnvfrbHfsw,0
,,,,
RONIT CHAWLA 23117122,Fwd: Information Management Group Recruitments 2024,RONIT CHAWLA 231171.  2 Fwd: Information Management Group Recruitments 2024   3:07 PM,https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzPCHnbcjVjDfjNfKKXqJTLKq,1
,,,,
General Secretary Technical Affairs,Team Robocon Gravity goes recruiting for UG 2nd year and PG 1st year,"General, SASMIT  3 Team Robocon Gravity goes recruiting for UG 2nd year and PG 1st year Attachment: Recruitment_poster.jpeg 3:07 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzFWlSHnJVddxthfWzVXPRrph,1
,,,,
General Secretary Technical Affairs,IIT Roorkee Motorsports Recruitment Talk,"General, RONIT  3 IIT Roorkee Motorsports Recruitment Talk  -  ---------- Forwarded message ---------- From: General Secretary Technical Affairs <gensec.technical@iitr.ac.in> Date: Feb 4, 2024, 10:54 AM +0530 To: Students-Notices@iitr.ac.in ""We built Attachment: WhatsApp Image 2024-02-02 at 17.32.11_a3982f82.jpg 3:07 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzGwJvrwHtKjXrxmNMjWlNQJrgSF,0
,,,,
General Secretary Technical Affairs,Unlock Your Potential: TEAM KNOx is Recruiting!!,"General, SASMIT  3 Unlock Your Potential: TEAM KNOx is Recruiting!! Attachment: RECRUITMENT TEAM KNOx.png 3:07 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVxtlVZmZDjTCLWtcBRkcrfKMS,1
,,,,
General Secretary Technical Affairs,PaAC Recruitments 2024,"General, RONIT  3 PaAC Recruitments 2024  -  ---------- Forwarded message ---------- From: General Secretary Technical Affairs <gensec.technical@iitr.ac.in> Date: Mar 23, 2024, 7:46 PM +0530 To: Students-Notices@iitr.ac.in Greetings   3:07 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzGxSRJwMnXNjcsqvrcxChQgxgKr,1
,,,,
General Secretary Technical Affairs,Techshila 2024: Recruitment form for CL/DCL,General .. SASMIT ..  5 Techshila 2024: Recruitment form for CL/DCL   3:07 PM,https://mail.google.com/mail/u/0/#inbox/FMfcgzGxSbmJsmMFxjFPBdpzTCWxzMQh,1
,,,,
General Secretary Technical Affairs,Recruitment Announcement - ARIES for 1st year,"General, RONIT  3 Recruitment Announcement - ARIES for 1st year Attachment: Instagram post - 15 (2).png 3:07 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVwnWTnWxxqWkqqhjDRtvMVCXr,1
,,,,
General Secretary Technical Affairs,Join the Design Team at Tinkering Lab!,"General, RONIT  3 Join the Design Team at Tinkering Lab!  -  ---------- Forwarded message ---------- From: General Secretary Technical Affairs <gensec.technical@iitr.ac.in> Date: Aug 8, 2024, 11:26 PM +0530 To: Students-Notices@iitr.ac.in Hey Fellow Design Attachment: Design Recruitment.jpg Attachment: Design Problem Statement Tinkering Lab.pdf 3:07 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVxtvjbHjDpDzvXrJbSKmmNGrT,1
,,,,
Himalayan ExplorersClub,HEC RECRUITMENT FOR THE SESSION OF 2024-2025,Himalayan .. me ..  4 HEC RECRUITMENT FOR THE SESSION OF 2024-2025 Attachment: HEC RECRUITMENT.pdf 3:07 PM,https://mail.google.com/mail/u/0/#inbox/FMfcgzQVxbhHdkwzjGXdgBVPSTlDwxnJ,1
,,,,
General Secretary Technical Affairs,ASME IITR Student Section your goes recruiting,"General, RONIT  4 ASME IITR Student Section your goes recruiting Attachment: Problem statement (Web-D).pdf Attachment: Problem statement (Content writer) - Copy.pdf Attachment: Problem statement (Design).pdf   3:07 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVxlKRJnbDVkxqsKjQjMWqLvjq,1
,,,,
General Secretary Technical Affairs,VLG Designer Recruitment 2024,"General, RONIT  3 VLG Designer Recruitment 2024  -  ---------- Forwarded message ---------- From: General Secretary Technical Affairs <gensec.technical@iitr.ac.in> Date: Jun 13, 2024, 10:19 AM +0530 To: Students-Notices@iitr.ac.in Greetings Attachment: WhatsApp Image 2024-06-11 at 11.48.23_d0b32ebc.jpg 3:06 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVwxGQgmfDpXTshtWzQPPZnLbf,1
,,,,
RONIT CHAWLA 23117122,Introduction to VPNs and Torrents,"RONIT CHAWLA 231171. Introduction to VPNs and Torrents  -  ---------- Forwarded message ---------- From: General Secretary Technical Affairs <gensec.technical@iitr.ac.in> Date: Aug 20, 2024, 8:47 PM +0530 To: Students-Notices@iitr.ac.in Master the Art of   3:06 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzFbDgfzjgScWmshXFnzjfgjz,0
,,,,
Associate Dean Corporate Interaction,In-Person Interaction with CBDE mentors,"Associate Dean Corp. In-Person Interaction with CBDE mentors  -  Dear Students, Given a significant number of students interested in entrepreneurship, Ministry of Education has initiated a program on ""Capacity Building for Design and Entrepreneurship"" to   2:51 PM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJQKQtpbmklqpdmwqfhtPJJWT,0
,,,,
Inst InstrumentationCentre,Opening of booking slots of newly installed MALDI Equipment,Inst Instrumentatio. Opening of booking slots of newly installed MALDI Equipment   12:57 PM,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJQKQtfWTfMJJjtDpdHwqJtFC,0
,,,,
Head Earth Sciences,Open notice for Ph.D. Viva Voce examination of Mr. Anuj Kumar Srivastava,Head Earth Sciences Open notice for Ph.D. Viva Voce examination of Mr. Anuj Kumar Srivastava   12:13 PM,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJQKQlVSrGFCcmZSMglHGsNWL,0
,,,,
Lalita Sharma,MTE answer sheet display,"Lalita Sharma MTE answer sheet display  -  Hello everyone, I will display the MTE answer sheets today in the Seminar room. The timing for EP1 is 5- 5:20 pm, and for EP2, it is 5:20 - 5:40 pm. Please maintain the given timings. Best, Lalita   11:45 AM",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJQKQlSDxRQlFVrlBcHnsfgzh,0
,,,,
General SecretaryCA,Join Us for a Recruitment Talk on IIT Roorkee Model United Nations!,General SecretaryCA Join Us for a Recruitment Talk on IIT Roorkee Model United Nations! Attachment: IMG_6780.PNG 8:49 AM,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJQKQbwnmqLMTFKCMlxCsSwhM,0
,,,,
CS Pant,List of students those are requested to meet me tomorrow at my office at 13-13:30,CS Pant List of students those are requested to meet me tomorrow at my office at 13-13:30   Sep 23,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtmLHpSMlzbDbClzLFlqmJC,0
,,,,
LinkedIn,"RISHABH, view Kriti Arneja‘s new post: No one from EY attended her funeral. No one. Anna, a young CA employed…","LinkedIn RISHABH, view Kriti Arneja‘s new post: No one from EY attended her funeral. No one. Anna, a young CA employed…   Sep 23",https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtmLGglLLHqGNstNJWlfZlf,0
,,,,
National Service Scheme - NSS IIT Roorkee,Join Us for the Tree Plantation Drive on 24th September,National Service Sc. Join Us for the Tree Plantation Drive on 24th September   Sep 23,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtmLFWbFxKxlJHdDJfgRbKj,0
,,,,
LinkedIn,You have 1 new invitation,LinkedIn You have 1 new invitation  -  You have 1 new invitation ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏   Sep 23,https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJGtmLDQPVzZJGGsKnHdtnlrQ,0
,,,,
